"","state","gender","age","race","educd","Number","Proportion"
"1","AK","male","18 to 29","american indian or alaska native","Didn't graduate college",32,0.00638213003589948
"2","AK","male","18 to 29","american indian or alaska native","Didn't graduate high school",53,0.0105704028719585
"3","AK","male","18 to 29","american indian or alaska native","Graduated college",9,0.00179497407259673
"4","AK","male","18 to 29","american indian or alaska native","Graduated high school",125,0.0249301954527324
"5","AK","male","18 to 29","black/african american","Didn't graduate college",5,0.000997207818109294
"6","AK","male","18 to 29","black/african american","Didn't graduate high school",1,0.000199441563621859
"7","AK","male","18 to 29","black/african american","Graduated college",4,0.000797766254487435
"8","AK","male","18 to 29","black/african american","Graduated high school",4,0.000797766254487435
"9","AK","male","18 to 29","japanese","Graduated college",1,0.000199441563621859
"10","AK","male","18 to 29","other asian or pacific islander","Didn't graduate college",19,0.00378938970881532
"11","AK","male","18 to 29","other asian or pacific islander","Didn't graduate high school",4,0.000797766254487435
"12","AK","male","18 to 29","other asian or pacific islander","Graduated college",4,0.000797766254487435
"13","AK","male","18 to 29","other asian or pacific islander","Graduated high school",12,0.00239329876346231
"14","AK","male","18 to 29","other race, nec","Didn't graduate college",28,0.00558436378141205
"15","AK","male","18 to 29","other race, nec","Didn't graduate high school",6,0.00119664938173115
"16","AK","male","18 to 29","other race, nec","Graduated college",4,0.000797766254487435
"17","AK","male","18 to 29","other race, nec","Graduated high school",26,0.00518548065416833
"18","AK","male","18 to 29","white","Didn't graduate college",103,0.0205424810530515
"19","AK","male","18 to 29","white","Didn't graduate high school",18,0.00358994814519346
"20","AK","male","18 to 29","white","Graduated college",57,0.011368169126446
"21","AK","male","18 to 29","white","Graduated high school",117,0.0233346629437575
"22","AK","male","30 to 44","american indian or alaska native","Didn't graduate college",25,0.00498603909054647
"23","AK","male","30 to 44","american indian or alaska native","Didn't graduate high school",36,0.00717989629038692
"24","AK","male","30 to 44","american indian or alaska native","Graduated college",9,0.00179497407259673
"25","AK","male","30 to 44","american indian or alaska native","Graduated high school",92,0.018348623853211
"26","AK","male","30 to 44","black/african american","Didn't graduate college",4,0.000797766254487435
"27","AK","male","30 to 44","black/african american","Didn't graduate high school",1,0.000199441563621859
"28","AK","male","30 to 44","black/african american","Graduated college",4,0.000797766254487435
"29","AK","male","30 to 44","black/african american","Graduated high school",12,0.00239329876346231
"30","AK","male","30 to 44","chinese","Didn't graduate college",1,0.000199441563621859
"31","AK","male","30 to 44","other asian or pacific islander","Didn't graduate college",8,0.00159553250897487
"32","AK","male","30 to 44","other asian or pacific islander","Didn't graduate high school",3,0.000598324690865576
"33","AK","male","30 to 44","other asian or pacific islander","Graduated college",6,0.00119664938173115
"34","AK","male","30 to 44","other asian or pacific islander","Graduated high school",21,0.00418827283605903
"35","AK","male","30 to 44","other race, nec","Didn't graduate college",21,0.00418827283605903
"36","AK","male","30 to 44","other race, nec","Didn't graduate high school",2,0.000398883127243718
"37","AK","male","30 to 44","other race, nec","Graduated college",11,0.00219385719984045
"38","AK","male","30 to 44","other race, nec","Graduated high school",19,0.00378938970881532
"39","AK","male","30 to 44","white","Didn't graduate college",109,0.0217391304347826
"40","AK","male","30 to 44","white","Didn't graduate high school",15,0.00299162345432788
"41","AK","male","30 to 44","white","Graduated college",155,0.0309134423613881
"42","AK","male","30 to 44","white","Graduated high school",93,0.0185480654168329
"43","AK","male","45 to 55","american indian or alaska native","Didn't graduate college",38,0.00757877941763063
"44","AK","male","45 to 55","american indian or alaska native","Didn't graduate high school",19,0.00378938970881532
"45","AK","male","45 to 55","american indian or alaska native","Graduated college",14,0.00279218189070602
"46","AK","male","45 to 55","american indian or alaska native","Graduated high school",92,0.018348623853211
"47","AK","male","45 to 55","black/african american","Didn't graduate college",4,0.000797766254487435
"48","AK","male","45 to 55","black/african american","Graduated college",5,0.000997207818109294
"49","AK","male","45 to 55","black/african american","Graduated high school",3,0.000598324690865576
