"","vote_2020","gender","race","educd","state","age","dummy_vote","stateicp"
"1","Donald Trump","female","white","Graduated college","WI","45 to 55",0,"wisconsin"
"2","Donald Trump","female","white","Graduated college","VA","45 to 55",0,"virginia"
"3","Donald Trump","female","white","Graduated high school","TX","60 plus",0,"texas"
"4","Donald Trump","female","white","Graduated high school","WA","45 to 55",0,"washington"
"5","Joe Biden","female","white","Didn't graduate college","MA","18 to 29",1,"massachusetts"
"6","Joe Biden","female","black/african american","Didn't graduate college","TX","30 to 44",1,"texas"
"7","Donald Trump","female","white","Didn't graduate college","CA","60 plus",0,"california"
"8","Donald Trump","female","white","Graduated college","NC","45 to 55",0,"north carolina"
"9","Donald Trump","female","white","Graduated college","MD","60 plus",0,"maryland"
"10","Joe Biden","female","white","Didn't graduate college","FL","45 to 55",1,"florida"
"11","Donald Trump","female","white","Graduated high school","WV","60 plus",0,"west virginia"
"12","Joe Biden","female","white","Graduated high school","OH","30 to 44",1,"ohio"
"13","Joe Biden","female","white","Graduated college","NY","60 plus",1,"new york"
"14","Joe Biden","female","white","Didn't graduate college","KY","18 to 29",1,"kentucky"
"15","Donald Trump","female","white","Graduated college","FL","60 plus",0,"florida"
"16","Donald Trump","male","white","Graduated college","IN","60 plus",0,"indiana"
"17","Joe Biden","female","white","Graduated high school","MI","60 plus",1,"michigan"
"18","Joe Biden","male","white","Graduated college","WA","30 to 44",1,"washington"
"19","Donald Trump","female","white","Graduated college","IA","60 plus",0,"iowa"
"20","Joe Biden","female","white","Didn't graduate college","CA","60 plus",1,"california"
"21","Donald Trump","female","white","Graduated college","SC","45 to 55",0,"south carolina"
"22","Joe Biden","male","white","Graduated college","MN","60 plus",1,"minnesota"
"23","Donald Trump","female","white","Didn't graduate college","GA","60 plus",0,"georgia"
"24","Donald Trump","female","white","Graduated college","PA","30 to 44",0,"pennsylvania"
"25","Joe Biden","female","white","Graduated college","NJ","60 plus",1,"new jersey"
"26","Donald Trump","female","white","Graduated college","VA","30 to 44",0,"virginia"
